id,time_sn,subgroup,stellar_mass,mass_fe60_ejecta,x,y,z,distance,galactic_long,galactic_lat,ra,dec,sc
1,-12.6,UCL,19.86,6.3,277,75,89,300,15.15,17.23,17h17m,-7d09m,Oph
2,-12,LCC,18.61,5.5,223,99,71,254,23.94,16.22,17h37m,-0d21m,Oph
3,-11.3,UCL,17.34,5,251,67,87,274,14.95,18.52,17h12m,-6d39m,Oph
4,-10,UCL,15.41,4.2,227,57,83,248,14.1,19.53,17h07m,-6d48m,Oph
5,-10,LCC,15.36,4.1,185,77,67,211,22.6,18.49,17h27m,-0d23m,Oph
6,-8.7,UCL,13.89,3.6,203,45,79,222,12.5,20.8,17h00m,-7d23m,Oph
7,-8,LCC,13.12,3.4,151,49,57,169,17.98,19.75,17h14m,-3d34m,Oph
8,-7.5,UCL,12.65,3.3,181,31,75,198,9.72,22.22,16h49m,-8d46m,Oph
9,-6.3,UCL,11.62,3,163,11,73,179,3.86,24.1,16h30m,-12d03m,Oph
10,-6.1,LCC,11.48,2.9,121,19,47,131,8.92,20.99,16h52m,-10d04m,Oph
11,-5,UCL,10.76,2.7,145,-5,69,161,-1.97,25.43,16h12m,-15d19m,Sco
12,-4.2,LCC,10.21,2.6,97,-15,33,104,-8.79,18.58,16h16m,-24d35m,Sco
13,-3.8,UCL,10.02,2.6,125,1,51,135,0.46,22.19,16h28m,-15d40m,Oph
14,-2.6,UCL,9.37,2.4,95,-9,47,106,-5.41,26.22,16h01m,-17d05m,Lib
15,-2.3,LCC,9.21,2.4,75,-49,17,91,-33.16,10.74,15h10m,-45d35m,Lup
16,-1.5,UCL,8.81,2.3,83,-25,41,96,-16.76,25.31,15h32m,-24d44m,Lib
